Tumor_name,Abbr,Samples,TSS_code,Tumor_id
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAEW-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAEX-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAF1-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAF4-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAF6-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAF8-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFG-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFG-05,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFI-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFJ-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFL-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFM-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFN-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFY-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAFZ-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAG0-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAG3-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAG5-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAG6-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAG7-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAG8-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAG9-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGC-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGF-01,2G,0
Testicular Germ Cell Tumors,TGCT,TCGA-2G-AAGG-01,2G,0
